anio;semana;precipitacion;temp. Max;temp. Min;humedad 
2017;1;0;36.4;22.8;73.6
2017;2;0;37;23.8;69.8
2017;3;4;37.4;23.8;77.9
2017;4;0;36.6;24;76.1
2017;5;16;36.8;24.3;91.6
2017;6;1;35.6;24.6;83.7
2017;7;2;37.4;24.6;75.5
2017;8;3;36;24;75.5
2017;9;4;36.9;25.5;85.4
2017;10;19;36;24.2;87.8
2017;11;6;35.6;25.2;88.1
2017;12;37;35.4;24.6;93.5
2017;13;6;34.2;24.9;86.6
2017;14;0;33.9;23;78.7
2017;15;0;34.8;23.1;78.7
2017;16;0;34.2;23;87.6
2017;17;0;33.6;22.1;78.9
2017;18;0;33.5;21.3;79.6
2017;19;0;33;22.3;82
2017;20;0;31.4;22.1;80.2
2017;21;0;31.2;20.8;80.7
2017;22;0;30.2;20.7;83.7
2017;23;0;30.4;20.1;78.4
2017;26;0;24.6;18.6;81.2
2017;27;0;30;18.4;81.1
2017;28;0;29.4;19.2;87
2017;29;0;29.4;18.7;83.5
2017;30;0;28.9;18.4;86.3
2017;31;0;28.8;18.4;85.7
2017;32;0;29.4;18;81.4
2017;33;0;29.4;17.4;79.2
2017;34;0;29.3;17.3;86
2017;35;0;29.6;17.4;82.6
2017;36;0;30.7;17.9;80.3
2017;37;0;30.6;17.3;83.6
2017;38;0;32.2;17.1;81.4
2017;39;0;31.6;17.3;78.9
2017;40;0;30.2;17.7;78.3
2017;41;0;31.6;16.9;74.3
2017;42;0;31.6;17.3;75.9
2017;43;0;32;17.7;75.8
2017;44;0;30.5;17;78.2
2017;45;0;29.8;16.9;78.5
2017;46;0;31.4;17.9;76.8
2017;47;0;31.6;18.6;74.7
2017;48;0;33.2;19;72.1
2017;49;0;33.6;19.7;72.3
2017;50;0;33.2;19.2;73.5
2017;51;0;34.4;21.5;69.3
2017;52;0;34.6;20.5;76.6
2017;53;0;34.4;19.8;68.7
2018;1;0;35.8;21;70.2
2018;2;0;35.6;20.9;73.9
2018;3;0;35.8;22.2;65.9
2018;4;0;36.8;21.5;66.8
2018;5;0;36.8;23.7;66
2018;6;0;35.6;23.8;68.6
2018;7;0;37;23.9;69.8
2018;8;0;36.8;23.6;71.1
2018;9;0;37;22;66.7
2018;10;0;36.6;22.4;64.3
2018;11;0;36.6;23.8;68
2018;12;0;36.4;23;69.1
2018;13;0;35.2;21.7;69.4
2018;14;1;35.6;22.3;81.6
2018;15;0;36.2;21.2;70.9
2018;16;0;34.6;20.1;68.7
2018;17;0;36.3;21.5;70
2018;18;0;34.4;21.3;71
2018;19;0;33;20.4;74.3
2018;20;0;32.2;19.7;76.2
2018;21;0;31.9;18.7;75.2
2018;22;0;32;18.9;78.6
2018;23;0;30.8;18.6;81.5
2018;24;0;31.4;18.7;79.6
2018;25;0;29.4;17.8;79.6
2018;26;0;30.9;18;76.8
2018;27;0;30.2;17.9;80.1
2018;28;0;30;17.9;79.5
2018;29;0;30.6;17.9;78.4
2018;30;0;31.4;18.3;78.9
2018;31;0;31;18;75.7
2018;32;0;30.4;18;75.3
2018;33;0;31;18.3;77.5
2018;34;0;30.9;17.5;74.2
2018;35;0;31.4;18;74.1
2018;36;0;31.6;17.9;75.7
2018;37;0;31;17.7;77.8
2018;38;0;31.9;17.1;76.8
2018;39;0;32;18;74.7
2018;40;0;31.8;25;79.2
2018;41;0;33;18.9;76.8
2018;42;0;31.8;18.6;74.3
2018;43;0;31.6;18.1;73
2018;44;0;33;18.9;72.4
2018;45;0;33;19.7;72.6
2018;46;0;33.6;20;70.3
2018;47;0;32.7;20.5;69.2
2018;48;0;33;20;77.7
2018;49;0;34;19.2;73.2
2018;50;0;36;21.9;71.4
2018;51;0;35.4;22.5;71.9
2018;52;0;36;22.3;75.4
2018;53;0;35.6;22;68.3
2019;1;0;37.2;22.2;72.8
2019;2;0;36;24.1;72.2
2019;3;0;36.2;23;72.3
2019;4;0;37.2;23.9;70.1
2019;5;0;37.8;25.2;72.6
2019;6;2;38;25.5;78.2
2019;7;1;37.4;24.4;78.3
2019;8;2;37.6;24.5;80.6
2019;9;0;38.8;23.5;73.6
2019;10;0;37.8;24.1;71.2
2019;11;1;38.2;24.4;69.7
2019;12;0;37.2;23.5;65.2
2019;13;0;36.6;23.5;67.6
2019;14;0;36.8;22.8;70
2019;15;0;35.8;22.2;66.9
2019;16;0;35;22.3;69.5
2019;17;0;34.7;22.8;79.7
2019;18;0;35;21.5;73.4
2019;19;0;33.8;22;76.4
2019;20;0;33.6;21.7;77.6
2019;21;0;33.4;19.9;75.8
2019;22;0;32.2;20.8;77.6
2019;23;0;33;19;77.5
2019;24;0;32.6;19.8;74.7
2019;25;0;30.2;19.3;78.9
2019;26;0;32.4;19.2;75.4
2019;27;0;31.2;18.8;77.7
2019;28;0;30.6;18.1;79.3
2019;29;0;30.6;17.7;78.2
2019;30;0;31.2;17.6;80.4
2019;31;0;29.2;15.8;83.8
2019;32;0;30.2;16.5;78
2019;33;0;30.6;17;77.3
2019;34;0;32.6;17.2;77.8
2019;35;0;32.2;17.4;78.2
2019;36;0;31.3;17.4;78.4
2019;37;0;30;17.1;80.2
2019;38;0;31.7;17.2;78.7
2019;39;0;32.6;17.3;81.5
2019;40;0;32.9;17.3;81.1
2019;41;0;31.5;16.9;79
2019;42;0;33.6;18.3;78.4
2019;43;0;32.8;18;76.1
2019;44;0;35;18.5;72.7
2019;45;0;33.4;18.7;75
2019;46;0;33;19.3;75.7
2019;47;0;32.6;19.9;78.9
2019;48;0;34.2;19.9;78.2
2019;49;0;35;21.5;73.1
2019;50;0;35.2;20.4;75.2
2019;51;0;35.8;20.9;72.8
2019;52;3;36;21.4;72.1
2019;53;2;35;21.9;79.9
2020;1;0;35.4;22.5;74.4
2020;2;0;37.4;22.4;71
2020;3;0;37;23.5;69.8
2020;4;0;38.6;24.9;72.4
2020;5;0;38.4;24.1;71.4
2020;6;0;38;23.4;71.7
2020;7;0;38;22.9;71.5
2020;8;0;38.5;25;68.8
2020;9;0;38;24.4;76.1
2020;10;0;38.6;24.4;73.2
2020;11;0;38;24.7;72.7
2020;12;0;37.8;24;75.2
2020;13;0;34.6;24.6;70.6
2020;14;0;35;23.2;74.6
2020;15;0;34.9;23;71
2020;16;1;35.4;22.6;75.7
2020;17;1;33.4;21.2;72.3
2020;18;0;33.2;21.3;75.5
2020;19;0;32.6;21.8;77.5
2020;20;0;31.6;21.2;78.9
2020;21;0;32;19.8;78.3
2020;22;0;30.8;19.6;83.6
2020;23;0;30;20.6;81.9
2020;24;0;28.7;19.3;79.5
2020;25;0;29.4;18.2;80
2020;26;0;29.4;17.6;80.3
2020;27;0;28.6;17.5;79.7
2020;28;0;29.2;17.5;81.7
2020;29;0;27.8;16.6;80.4
2020;30;0;28.8;17.4;77.1
2020;31;0;28.2;16.4;78.4
2020;32;0;29.8;16.6;78.6
2020;33;0;28.4;16.8;77.7
2020;34;0;28.6;16.8;84.6
2020;35;0;28.8;16.8;80.4
2020;36;0;28.8;16.9;82.1
2020;37;0;29.2;16.6;77.3
2020;38;0;31.2;16.4;75.3
2020;39;0;31.4;17.2;75.6
2020;40;0;31.6;17.6;76.3
2020;41;0;33.2;17.4;75.8
2020;42;0;31.6;17.9;72.9
2020;43;0;31.5;18;71.3
2020;44;0;30.6;17.9;77.4
2020;45;0;30.2;18;74.4
2020;46;0;30.7;18.4;73.5
2020;47;0;30.5;18.8;73.5
2020;48;0;31.6;18.2;77.2
2020;49;0;32.8;20;74.8
2020;50;1;32;20.2;87.3
2020;51;0;32.5;20.4;72.6
2020;52;0;33.4;20.6;72.5
2020;53;0;32.6;22;74.9
2021;1;0;33.4;20;68.5
2021;2;0;34.2;22.4;72.7
2021;3;0;34;21.6;72.9
2021;4;0;34.4;21.6;68.5
2021;5;0;34.8;22.8;71.1
2021;6;0;34;23.2;68.4
2021;7;0;36;24.7;71.1
2021;8;0;35.6;23.3;70.4
2021;9;0;36.4;22.2;65.4
2021;10;0;35.8;24.7;72.3
2021;11;0;36;23.5;93.6
2021;12;0;34.8;23.8;76.4
2021;13;0;33.8;22.6;70.8
2021;14;0;34.6;21.7;68.2
2021;15;0;33.8;22.9;71.3
2021;16;0;32.5;20.4;82.4
2021;17;0;33.4;20.6;77.1
2021;18;0;31.6;20.8;74.5
2021;19;0;32.3;21;79.8
2021;20;0;30;19.2;78.4
2021;21;0;29.6;19;82
2021;22;0;30;19.4;83.1
2021;23;0;28.6;19.4;84.6
2021;24;0;28.5;19.4;87
2021;25;0;29.6;19.4;79.4
2021;26;0;28.2;19.1;83.3
2021;27;0;28;18.8;79.2
2021;28;0;28;19;81
2021;29;0;29.2;19.2;82
2021;30;0;29.4;19;81.7
2021;31;0;28.4;19.4;81.9
2021;32;0;28;18;80.9
2021;33;0;30.6;18.5;77.4
2021;34;0;29;18.3;78.4
2021;35;0;29.8;17.4;80.1
2021;36;0;30.2;17.2;76.8
2021;37;0;29.4;17.6;77.3
2021;38;0;30;16.8;77.7
2021;39;0;30.6;16.7;79.6
2021;40;0;30.6;17.9;76.8
2021;41;1;30.6;17.4;72
2021;42;0;29.6;17.2;76.2
2021;43;0;31.4;17.3;76.4
2021;44;0;30.5;16.8;72.3
2021;45;0;32.7;18.2;71.3
2021;46;0;30;18.2;72.7
2021;47;0;31.4;18.5;72.3
2021;48;0;30.5;19.4;74.5
2021;49;0;31.8;19.4;70.7
2021;50;0;31.8;20;70.5
2021;51;0;32;20.2;75.3
2021;52;1;33;19.5;73.7
2021;53;0;33.6;20.3;71.5
2022;1;0;33.2;19.6;69.8
2022;2;0;33.8;20.8;69.4
2022;3;0;34.3;22.2;71.8
2022;4;0;34.4;22;71.5
2022;5;0;34.7;22.3;67.1
2022;6;0;34.8;21.4;66.5
2022;7;0;34;22.8;68.1
2022;8;0;35;22.4;66.1
2022;9;0;35.4;23.2;69.2
2022;10;0;35;23.4;73.4
2022;11;0;35.4;23.6;74.9
2022;12;0;35.4;23.6;76
2022;13;0;33.8;22.2;71.3
2022;14;0;34.4;21.8;78.9
2022;15;0;33.2;22;75.3
2022;16;0;32.8;21.2;78.3
2022;17;0;31.4;19.6;78.4
2022;18;0;31;19;79.7
2022;19;0;33.8;19.4;73.6
2022;20;0;31.6;18.4;74
2022;21;0;31.6;18.8;73.6
2022;22;0;30.8;17.5;75.9
2022;23;0;31.4;18;75
2022;24;0;29.8;18.1;77.3
2022;25;0;30;17.1;77.8
2022;26;0;29.8;16.7;77.2
2022;27;0;29.5;17.5;77.1
2022;28;0;30.6;17.1;79.1
2022;29;0;29.4;16.8;78.5
2022;30;0;30.2;17.5;77.6
2022;31;0;31;17;77.7
2022;32;0;29.8;16.7;78.6
2022;33;0;32.4;16.7;76.3
2022;34;0;30.8;16.4;79.6
2022;35;0;30;16.5;77.8
2022;36;0;29.8;16.4;75.8
2022;37;0;31.2;17;78.8
2022;38;0;31;16.5;74.2
2022;39;0;30;16.3;72.3
2022;40;0;31;15.7;72.4
2022;41;0;30.2;15.7;72.1
2022;42;0;31.2;15.6;74.5
2022;43;0;30.6;16.5;71.3
2022;44;0;30.4;16.7;73.3
2022;45;0;31.2;16.7;78.1
2022;46;0;31.8;17.7;77.8
2022;47;0;32.6;17.9;75
2022;48;0;33.8;18.1;70
2022;49;0;35;19.8;73.4
2022;50;0;33;17.9;70.1
2022;51;0;34.8;21.7;69.2
2022;52;0;35.2;21.7;68.8
2022;53;0;35;21.6;74.9
